epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,time_stamp
0,1.9057860360826764,0.24857142857142858,1.8303713229569523,0.3543019484389912,2024-12-07 16:03:54.121318
1,1.8489148541859217,0.31285714285714283,1.8107854236255994,0.38961039077151904,2024-12-07 16:03:54.121318
2,1.8049463026864188,0.3657142857142857,1.7339881468902936,0.5024350651285865,2024-12-07 16:03:54.121318
3,1.7626008776256017,0.4228571428571429,1.6864006167108363,0.5539772734045982,2024-12-07 16:03:54.121318
4,1.7280297817502703,0.47285714285714286,1.6145909184759313,0.5941558453169736,2024-12-07 16:03:54.121318
5,1.6935046625137329,0.5007142857142857,1.6035070608962665,0.6274350651285865,2024-12-07 16:03:54.121318
6,1.688814778327942,0.5071428571428571,1.5954528017477556,0.6067370135675777,2024-12-07 16:03:54.121318
7,1.6525752639770508,0.525,1.5744050605730577,0.622564935548739,2024-12-07 16:03:54.121318
8,1.640445421082633,0.5471428571428572,1.5173234316435726,0.6972402605143461,2024-12-07 16:03:54.121318
9,1.6250390427453176,0.5578571428571428,1.5515663623809814,0.6120129877870734,2024-12-07 16:03:54.121318
10,1.6054038143157958,0.5821428571428572,1.5276506759903647,0.6444805203513666,2024-12-07 16:03:54.121318
11,1.591824791090829,0.5935714285714285,1.5180302424864336,0.6452922082760117,2024-12-07 16:03:54.121318
12,1.5776224824360439,0.6078571428571429,1.503742440180345,0.6688311696052551,2024-12-07 16:03:54.121318
13,1.5741479764665876,0.6121428571428571,1.5571815073490143,0.6116071438247507,2024-12-07 16:03:54.121318
14,1.5695445721490042,0.6128571428571429,1.465119955214587,0.7256493514234369,2024-12-07 16:03:54.121318
15,1.5440293475559779,0.6342857142857142,1.4745318808338859,0.7086038968779824,2024-12-07 16:03:54.121318
16,1.5391673476355416,0.6478571428571429,1.4736803661693225,0.6915584423325278,2024-12-07 16:03:54.121318
17,1.5191589879989624,0.6735714285714286,1.4289137341759421,0.771509740840305,2024-12-07 16:03:54.121318
18,1.5242169768469673,0.6635714285714286,1.4315271892330863,0.754870130257173,2024-12-07 16:03:54.121318
19,1.497324470111302,0.6892857142857143,1.4284553609111093,0.754870130257173,2024-12-07 16:03:54.121318
20,1.4986314719063896,0.6864285714285714,1.4472764269872145,0.7483766241507097,2024-12-07 16:03:54.121318
21,1.4876214803968157,0.6985714285714286,1.4002248969945041,0.7820616892792962,2024-12-07 16:03:54.121318
22,1.4920873941693986,0.6892857142857143,1.4058089798147029,0.7889610393480821,2024-12-07 16:03:54.121318
23,1.4941501842226301,0.6907142857142857,1.4116597229784185,0.7775974029844458,2024-12-07 16:03:54.121318
24,1.480527994973319,0.7071428571428572,1.4270730993964456,0.7370129877870734,2024-12-07 16:03:54.121318
25,1.457240447998047,0.7378571428571429,1.4067284925417467,0.7719155848026276,2024-12-07 16:03:54.121318
26,1.4675206749779837,0.725,1.4013268080624668,0.7759740264578299,2024-12-07 16:03:54.121318
27,1.4623554216112409,0.7228571428571429,1.3921365331519733,0.7824675332416188,2024-12-07 16:03:54.121318
28,1.4472863824026925,0.7385714285714285,1.4277716062285684,0.7256493514234369,2024-12-07 16:03:54.121318
29,1.442981264931815,0.745,1.4001336991786957,0.7719155848026276,2024-12-07 16:03:54.121318
30,1.4392989451544624,0.7464285714285714,1.3910573422908783,0.7877435067837889,2024-12-07 16:03:54.121318
31,1.4199263899666923,0.7635714285714286,1.363625943660736,0.8344155848026276,2024-12-07 16:03:54.121318
32,1.4379660681315831,0.7478571428571429,1.3935345519672742,0.7719155848026276,2024-12-07 16:03:54.121318
33,1.4244555861609323,0.7592857142857142,1.3666217679327184,0.8238636363636364,2024-12-07 16:03:54.121318
34,1.4160659844534738,0.775,1.3795111802491276,0.7840909090909091,2024-12-07 16:03:54.121318
35,1.4150302825655257,0.77,1.3607876111160626,0.7991071438247507,2024-12-07 16:03:54.121318
36,1.4155550289154053,0.7707142857142857,1.3743917291814631,0.8051948059688915,2024-12-07 16:03:54.121318
37,1.4040047550201415,0.7792857142857142,1.3647837069901554,0.8222402605143461,2024-12-07 16:03:54.121318
38,1.40211840902056,0.7785714285714286,1.3708341934464194,0.8064123378558592,2024-12-07 16:03:54.121318
39,1.3980110447747367,0.7978571428571428,1.348895850506696,0.8230519484389912,2024-12-07 16:03:54.121318
40,1.4020656653812953,0.7878571428571428,1.3892992599443956,0.7816558446396481,2024-12-07 16:03:54.121318
41,1.407261312348502,0.7721428571428571,1.3445289080793208,0.8287337666208093,2024-12-07 16:03:54.121318
42,1.3929514687401907,0.7885714285714286,1.3454489951783961,0.834009740840305,2024-12-07 16:03:54.121318
43,1.3857388155800956,0.8028571428571428,1.3670881282199512,0.8120941560376774,2024-12-07 16:03:54.121318
44,1.3842158773967197,0.7985714285714286,1.3286644410003314,0.8571428575299003,2024-12-07 16:03:54.121318
45,1.3792453486578806,0.8078571428571428,1.3278691551902078,0.8579545454545454,2024-12-07 16:03:54.121318
46,1.3826354837417603,0.8014285714285714,1.3667345968159763,0.8060064938935366,2024-12-07 16:03:54.121318
47,1.3834415646961757,0.8021428571428572,1.3279763812368566,0.8689123378558592,2024-12-07 16:03:54.121318
48,1.379973270552499,0.8092857142857143,1.3390141183679753,0.8336038968779824,2024-12-07 16:03:54.121318
49,1.3883568913596016,0.7907142857142857,1.3396419503472068,0.8400974029844458,2024-12-07 16:03:54.121318
50,1.3717327846799579,0.81,1.3315605521202087,0.8514610393480821,2024-12-07 16:03:54.121318
51,1.3716203614643643,0.8107142857142857,1.3520168472420087,0.8112824681130323,2024-12-07 16:03:54.121318
52,1.3671452154432024,0.8185714285714286,1.342972999269312,0.8348214287649501,2024-12-07 16:03:54.121318
53,1.3662121098382132,0.8207142857142857,1.344507491046732,0.8405032469467684,2024-12-07 16:03:54.121318
54,1.3568651628494264,0.83,1.3346572464162654,0.829139610583132,2024-12-07 16:03:54.121318
55,1.3622037383488246,0.8242857142857143,1.330119319937446,0.8449675332416188,2024-12-07 16:03:54.121318
56,1.358455638885498,0.8242857142857143,1.3620954724875363,0.8060064938935366,2024-12-07 16:03:54.121318
57,1.371023542540414,0.805,1.3321161839095028,0.8344155848026276,2024-12-07 16:03:54.121318
58,1.3564120292663575,0.8342857142857143,1.3197089623321185,0.8514610393480821,2024-12-07 16:03:54.121318
59,1.3523278290884835,0.8307142857142857,1.3253481415185062,0.8461850651285865,2024-12-07 16:03:54.121318
60,1.353960757255554,0.83,1.3271616995334625,0.8461850651285865,2024-12-07 16:03:54.121318
61,1.3548631388800485,0.8278571428571428,1.3259247216311367,0.8502435074611143,2024-12-07 16:03:54.121318
62,1.3510652126584735,0.8307142857142857,1.3475810208103873,0.817370130257173,2024-12-07 16:03:54.121318
63,1.3497482797077724,0.83,1.312849765474146,0.8628246757117185,2024-12-07 16:03:54.121318
64,1.3332563516071865,0.8485714285714285,1.3224111063913866,0.8457792211662639,2024-12-07 16:03:54.121318
65,1.3394978632245744,0.845,1.3105087415738539,0.8628246757117185,2024-12-07 16:03:54.121318
66,1.3522044100080217,0.8292857142857143,1.3279858367009596,0.8348214287649501,2024-12-07 16:03:54.121318
67,1.355661745752607,0.8271428571428572,1.3154233992099762,0.8579545454545454,2024-12-07 16:03:54.121318
68,1.3398666225160871,0.8414285714285714,1.312277303500609,0.8624188317493959,2024-12-07 16:03:54.121318
69,1.3395618438720702,0.8392857142857143,1.315564908764579,0.8514610393480821,2024-12-07 16:03:54.121318
70,1.3416928809029716,0.8385714285714285,1.345451525666497,0.8348214287649501,2024-12-07 16:03:54.121318
71,1.330143028667995,0.8564285714285714,1.3242056667804718,0.8461850651285865,2024-12-07 16:03:54.121318
72,1.3338846349716187,0.8521428571428571,1.3035771332003854,0.8628246757117185,2024-12-07 16:03:54.121318
73,1.3292814465931484,0.8492857142857143,1.3107886937531559,0.8579545454545454,2024-12-07 16:03:54.121318
74,1.3333437585830687,0.8485714285714285,1.3154655451124364,0.8624188317493959,2024-12-07 16:03:54.121318
75,1.321626170703343,0.8571428571428571,1.3122022260319104,0.8518668833104047,2024-12-07 16:03:54.121318
76,1.3218987785066878,0.8564285714285714,1.3053743297403508,0.868100649931214,2024-12-07 16:03:54.121318
77,1.3260511691229684,0.855,1.3338548730720172,0.8287337666208093,2024-12-07 16:03:54.121318
78,1.3264371681213378,0.8528571428571429,1.2917541021650487,0.8741883120753549,2024-12-07 16:03:54.121318
79,1.3306407288142612,0.8507142857142858,1.3020655323158612,0.8632305196740411,2024-12-07 16:03:54.121318
80,1.3355652911322458,0.8428571428571429,1.3009737432003021,0.8632305196740411,2024-12-07 16:03:54.121318
81,1.3128525870186942,0.87,1.3052478568120436,0.8741883120753549,2024-12-07 16:03:54.121318
82,1.3119666038240705,0.8685714285714285,1.2956907911734148,0.8676948059688915,2024-12-07 16:03:54.121318
83,1.3173113400595529,0.8621428571428571,1.3179780353199353,0.8510551953857596,2024-12-07 16:03:54.121318
84,1.3231334842954363,0.8542857142857143,1.2903071506456896,0.8802759742194955,2024-12-07 16:03:54.121318
85,1.314351350239345,0.8628571428571429,1.3326593664559452,0.8348214287649501,2024-12-07 16:03:54.121318
86,1.3225666359492712,0.8521428571428571,1.2944420792839744,0.8855519484389912,2024-12-07 16:03:54.121318
87,1.3211301721845354,0.855,1.3112398711117832,0.8510551953857596,2024-12-07 16:03:54.121318
88,1.3076526083265032,0.8678571428571429,1.2956822379068895,0.8745941560376774,2024-12-07 16:03:54.121318
89,1.3063492012023925,0.8735714285714286,1.2955989647995343,0.8802759742194955,2024-12-07 16:03:54.121318
90,1.3138682549340384,0.86,1.2980261336673389,0.8806818181818182,2024-12-07 16:03:54.121318
91,1.3062209592546736,0.87,1.2842715707692234,0.8737824681130323,2024-12-07 16:03:54.121318
92,1.3105420058114188,0.8692857142857143,1.3101079328493639,0.8510551953857596,2024-12-07 16:03:54.121318
93,1.3057421357291086,0.8721428571428571,1.2921551628546282,0.8851461044766686,2024-12-07 16:03:54.121318
94,1.3136247348785401,0.8657142857142858,1.3080079040744088,0.868100649931214,2024-12-07 16:03:54.121318
95,1.3052659034729004,0.8692857142857143,1.2979895770549774,0.8745941560376774,2024-12-07 16:03:54.121318
96,1.3130302129473006,0.8635714285714285,1.2872867719693617,0.8863636363636364,2024-12-07 16:03:54.121318
97,1.3008438430513654,0.8807142857142857,1.2889245044101367,0.8802759742194955,2024-12-07 16:03:54.121318
98,1.3090508692605154,0.8728571428571429,1.305811884728345,0.8632305196740411,2024-12-07 16:03:54.121318
99,1.3041798155648368,0.875,1.2953944287516854,0.8689123378558592,2024-12-07 16:03:54.121318
